logmstar,phi,phi+error,phi-error
7.25,-1.63,-1.0899999999999999,-2.17
7.75,-2.07,-1.6199999999999999,-2.48
8.25,-2.49,-2.1100000000000003,-2.81
8.75,-2.96,-2.64,-3.26
9.25,-3.47,-3.1500000000000004,-3.8200000000000003
9.75,-4.11,-3.7,-4.680000000000001
10.25,-4.61,-3.8900000000000006,-5.430000000000001
10.75,-5.24,-4.34,-5.8100000000000005
