logmstar,phi,phi+error,phi-error
7.25,-1.57,-1.36,-1.73
7.75,-1.77,-1.62,-1.9
8.25,-2.0,-1.87,-2.1
8.75,-2.22,-2.1300000000000003,-2.31
9.25,-2.52,-2.43,-2.61
9.75,-2.91,-2.79,-2.96
10.25,-3.37,-3.2800000000000002,-3.49
10.75,-4.0,-3.8,-4.25
11.25,-4.54,-4.2,-5.09
