logmstar,log_sfr,log_sfr_err
9.2,0.48,0.07
9.4,0.7,0.03
9.7,0.94,0.02
9.9,1.15,0.03
10.1,1.38,0.03
10.3,1.54,0.04
10.5,1.7,0.1
10.7,1.83,0.1
10.9,1.9,0.11
11.1,2.02,0.1
11.3,2.19,0.09
11.5,2.25,0.18
