logmstar,log_sfr,log_sfr_err
8.4,-0.6,0.5
8.7,-0.38,0.11
8.9,-0.2,0.05
9.1,0.05,0.03
9.3,0.23,0.02
9.5,0.45,0.02
9.7,0.65,0.02
9.9,0.78,0.03
10.1,0.99,0.07
10.3,1.06,0.05
10.5,1.09,0.07
10.7,1.22,0.07
10.9,1.21,0.08
11.1,1.27,0.1
