logmstar,phi,phi+error,phi-error
7.25,-1.47,-1.23,-1.68
7.75,-1.72,-1.52,-1.92
8.25,-2.01,-1.8499999999999999,-2.17
8.75,-2.33,-2.18,-2.43
9.25,-2.68,-2.6100000000000003,-2.8200000000000003
9.75,-3.12,-3.0300000000000002,-3.23
10.25,-3.47,-3.31,-3.6100000000000003
10.75,-4.12,-3.87,-4.5
11.25,-4.88,-4.4799999999999995,-5.49
