redshift ,mstar ,phi   ,+err ,-err 
  2 0.2      ,8     ,-1.49 ,0.06 ,0.06 
  3 0.2      ,9     ,-1.89 ,0.07 ,0.07 
  4 0.2      ,10    ,-2.35 ,0.09 ,0.09 
  5 0.2      ,11    ,-3.25 ,0.12 ,0.12 
  6 0.2      ,11.5  ,-4.52 ,0.18 ,0.23
